MSN,StateCode,Year,Data
ARTXV,US,1976,1856
ARTXV,US,2005,6969
ARTXV,US,2010,11518
ARTXV,US,2015,10862
AVACB,US,1960,297903
AVACB,US,1961,290396
AVACB,US,1962,262915
AVACB,US,1963,253193
AVACB,US,1964,235025
AVACB,US,1965,221592
AVACB,US,1966,194091
AVACB,US,1967,166099
AVACB,US,1968,154590
AVACB,US,1969,128981
AVACB,US,1970,100470
AVACB,US,1971,90319
AVACB,US,1972,85437
AVACB,US,1973,83448
AVACB,US,1974,81853
AVACB,US,1975,71010
AVACB,US,1976,67451
AVACB,US,1977,70329
AVACB,US,1978,71454
AVACB,US,1979,70314
AVACB,US,1980,64347
AVACB,US,1981,56270
AVACB,US,1982,46977
AVACB,US,1983,47673
AVACB,US,1984,43877
AVACB,US,1985,50324
AVACB,US,1986,58925
AVACB,US,1987,45639
AVACB,US,1988,48991
AVACB,US,1989,47587
AVACB,US,1990,44978
AVACB,US,1991,41722
AVACB,US,1992,41055
AVACB,US,1993,38395
AVACB,US,1994,38138
AVACB,US,1995,39581
AVACB,US,1996,37355
AVACB,US,1997,39697
AVACB,US,1998,35498
AVACB,US,1999,39172
AVACB,US,2000,36285
AVACB,US,2001,34937
AVACB,US,2002,33731
AVACB,US,2003,30222
AVACB,US,2004,31242
AVACB,US,2005,35366
AVACB,US,2006,33448
AVACB,US,2007,31590
AVACB,US,2008,28284
AVACB,US,2009,26558
AVACB,US,2010,27047
AVACB,US,2011,27057
AVACB,US,2012,25114
AVACB,US,2013,22358
AVACB,US,2014,21696
AVACB,US,2015,21141
AVACP,US,1960,59014
AVACP,US,1961,57527
AVACP,US,1962,52083
AVACP,US,1963,50157
AVACP,US,1964,46558
AVACP,US,1965,43897
AVACP,US,1966,38449
AVACP,US,1967,32904
AVACP,US,1968,30624
AVACP,US,1969,25551
AVACP,US,1970,19903
AVACP,US,1971,17892
AVACP,US,1972,16925
AVACP,US,1973,16531
AVACP,US,1974,16215
AVACP,US,1975,14067
AVACP,US,1976,13362
AVACP,US,1977,13932
AVACP,US,1978,14155
AVACP,US,1979,13929
AVACP,US,1980,12747
AVACP,US,1981,11147
AVACP,US,1982,9306
AVACP,US,1983,9444
AVACP,US,1984,8692
AVACP,US,1985,9969
AVACP,US,1986,11673
AVACP,US,1987,9041
